artist,artist_id,artist_pop,artist_genres,album,album_id,track_name,track_id,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist,user,artists_song
Saguru,61qZ7es6fFlppv6I1r32V8,24.0,[german indie folk],In Bloom,2qtvbKMkCHTmSd15sYRle0,Deep In Thought,5tXRNagoYF26YfKjNtU5zV,13.0,0.454,0.479,2.0,-12.782,1.0,0.0263,0.0893,0.0777,0.124,0.151,85.972,181467.0,3.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,SaguruDeep In Thought
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Your Dog Don't Like You,0xsxTQz5hpv4hbFE0o1NeH,8.0,0.297,0.708,10.0,-6.395,1.0,0.0436,0.00974,0.0,0.154,0.454,196.024,195609.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsYour Dog Don't Like You
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Uselessness,473VGSYPoNyavS6Tav8Lzu,8.0,0.535,0.723,11.0,-6.769,1.0,0.0841,0.00805,8.29e-05,0.282,0.414,97.918,190166.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsUselessness
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Beers on Mars,2hJBSqynKtWkWI99klFF7m,8.0,0.589,0.594,11.0,-9.409,1.0,0.0316,0.000646,1.03e-05,0.155,0.66,118.009,252290.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsBeers on Mars
Ethansroom,0obyulaZmmOhiSsnYIfHne,21.0,[nashville indie],Action Movie,3bDGc8NJulXePx6qy0hrtp,Action Movie,7HMmKavxufquTUKvXar1BO,26.0,0.759,0.392,1.0,-7.689,1.0,0.0342,0.0101,0.0,0.0773,0.765,105.023,150500.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,EthansroomAction Movie
Angel Envy,57AhJWbf5WEuhUp9b2gIVT,11.0,[unknown],Forlorn Cactus,5A2WTniJVKQcB74bRgKTzx,Forlorn Cactus,6BC8PmH2Hs9FxanfAQgGKe,21.0,0.606,0.596,11.0,-7.242,1.0,0.026,0.00406,0.00631,0.197,0.569,94.989,204092.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Angel EnvyForlorn Cactus
Brother Bird,6QRcVji67cTbSEfjAC43YC,29.0,[unknown],Sleep it Off,6jCmtR63BR7kLx4UotWP3y,Sleep it Off,1dp3L4RsP70L6SYSSMy8zV,38.0,0.597,0.523,3.0,-7.183,1.0,0.0286,0.139,0.121,0.137,0.0945,124.043,215507.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Brother BirdSleep it Off
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Gallows,0WSa7bAAogEBGv6Agk1soO,7.0,0.6,0.402,6.0,-12.513,0.0,0.0611,0.479,0.00236,0.0858,0.385,148.832,186738.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsGallows
John Jin Han,5bUZA6A9fh1mx9APanxlbl,42.0,"[christian lo-fi, christian pop]",Feel This Way,6lGinDWSZaJaF07BvA4wVQ,Feel This Way,4ePECd9ostSeOCaqm0X81r,30.0,0.578,0.393,7.0,-9.595,1.0,0.0267,0.514,0.00283,0.0882,0.24,124.027,411000.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,John Jin HanFeel This Way
Capital Soiree,1sd5vbMAYXlLoJNTQfY0HV,29.0,[unknown],More Like You,6crYUbxNTiCN3MovOTr2Z1,More Like You,5TeabdwQz2grGx5xwC7bXm,19.0,0.428,0.864,1.0,-4.933,1.0,0.0539,0.00683,0.0,0.367,0.461,167.967,148000.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Capital SoireeMore Like You
VILLFORTH,5zZFUqzTf5EItusaDuzmXG,30.0,[unknown],December,2uULhhPjXPeJNMmaZI0Zvn,December,5qh15SEMEPH06DDPjMtYvl,33.0,0.698,0.579,4.0,-9.051,1.0,0.0362,0.372,2.3e-05,0.188,0.465,130.015,202523.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,VILLFORTHDecember
Planet Ibiza,2f0fVIP8exBDlW5SHhKosW,11.0,[unknown],M.E.D.H.A.N.E,0fZylHERuG8nsPWONb4Nel,M.E.D.H.A.N.E,1T4Hsrz5yQiSsqO3CiRjdF,21.0,0.642,0.461,6.0,-10.686,1.0,0.039,0.0813,0.247,0.209,0.179,120.032,205541.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Planet IbizaM.E.D.H.A.N.E
David Gramberg,234SSNe2H52Mww78ur9bmL,37.0,[unknown],Where Have You Gone,3kzEQojNmIdRokCwmT7fB8,Where Have You Gone,3l2wwLqeyBSTqagz5m6RxM,25.0,0.404,0.54,0.0,-7.064,1.0,0.039,0.345,0.00085,0.141,0.298,116.945,169750.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,David GrambergWhere Have You Gone
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Good Time,5pTftzNTvBNNhV2M9fcyPZ,7.0,0.559,0.622,2.0,-7.742,1.0,0.0414,0.123,0.104,0.0877,0.513,129.991,262008.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsGood Time
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Heat of the Moment,0aHe0Q7lUyaaA88qkwErnM,7.0,0.44,0.72,3.0,-8.372,1.0,0.0326,0.000907,0.000628,0.0798,0.397,96.973,249840.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsHeat of the Moment
Juliana Eye,6Cfibszw4vzU6T6VgEwxM6,2.0,[unknown],WASTED YOUTH,3kKziHeTvDqe2onWS653rq,WASTED YOUTH,2loKvV4Esyz9vKD7FmxYUY,7.0,0.435,0.741,0.0,-6.476,1.0,0.0892,0.0163,1.7e-05,0.134,0.556,172.015,213488.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Juliana EyeWASTED YOUTH
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Daylight,4Z9HXTesepUQrYPv3ZUNQk,7.0,0.773,0.558,1.0,-7.248,0.0,0.029,0.062,5.18e-06,0.094,0.682,122.975,225724.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsDaylight
Laura Lang,5xzzJosUrZ0Eff6pRrpUvR,12.0,[unknown],Bad Luck,7EDHnUVIpvkDQtM70LPC4V,Slow Burn,2sFGEtQyBO0oebnr1PY7rg,7.0,0.474,0.633,0.0,-6.38,1.0,0.0368,0.33,9.02e-06,0.101,0.0916,134.882,194360.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Laura LangSlow Burn
Gert Taberner,3Jy7XwrGPgOEq4OxRODWbf,38.0,[unknown],Functional,13FdeDCNLdPVwWC2LC0NaI,Functional,2FqswdEeXwPDhLdLUnim7d,28.0,0.595,0.275,5.0,-10.954,1.0,0.0311,0.916,0.000107,0.111,0.141,134.88,247844.0,3.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Gert TabernerFunctional
Cedars of Lebanon,0UPdNI8dVDgoqaagx78VmX,19.0,[unknown],Josef,6bLXtq377jPMgEg4QCwnmd,Josef,3A5AjYJCt9QKLSZA0zyWFv,15.0,0.323,0.669,7.0,-6.64,1.0,0.0366,0.0324,1.11e-06,0.0624,0.16,130.113,210316.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Cedars of LebanonJosef
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Headstone,0ns2B6b8ywrRaQhNu8Ey2e,6.0,0.518,0.412,9.0,-10.88,1.0,0.0304,0.222,0.0265,0.221,0.0521,114.928,421973.0,3.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsHeadstone
Michael Barrow & the Tourists,1mhe70fSiQDyc16JVlhBUE,29.0,[utah indie],Clover,1aKUDayJYD8jylsH5BIlej,Y.O.U.,6NCXZp2MdoKvoO6k9NRanL,26.0,0.677,0.737,7.0,-7.013,1.0,0.0522,0.0261,0.00114,0.123,0.888,90.984,233207.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Michael Barrow & the TouristsY.O.U.
Hills x Hills,4WQXjloYdAvQregUNv1XYp,35.0,[unknown],By Your Side,5ipluvLbVh8f93K5QtDvOa,By Your Side,6AYGHywPn0FNAxhAs3GKye,23.0,0.595,0.606,1.0,-8.962,1.0,0.0354,0.203,0.618,0.136,0.354,98.044,230800.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Hills x HillsBy Your Side
Freight Train Foxes,2kX9CiUl1AAvmXGU3lFHDZ,24.0,[modern indie folk],Oh My Girl,0knw7jhAOQjxnO1NFUjPAu,Oh My Girl,4I9m841IBnWopBL5DA1Z6z,28.0,0.669,0.739,9.0,-6.916,0.0,0.0458,0.128,0.00111,0.21,0.609,144.979,168393.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Freight Train FoxesOh My Girl
Jolé,293DzAwiQQs4mkeOzQ6lOu,50.0,"[indie folk, modern indie folk]",Let Go,7wAy9EaMfQUuNSmFhqvua0,Let Go,5qLgzDazbnPRP6VStc30uE,27.0,0.522,0.62,1.0,-7.693,0.0,0.027,0.682,0.0389,0.122,0.488,156.092,184113.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,JoléLet Go
Tom Speight,02U4dXZhGSo07f66l8JZ91,53.0,"[indie folk, indiecoustica, viral pop]",If This Is How the Story Ends,2bUx5iPiy8jsRdg6E3Yct3,If This Is How the Story Ends,3CTtwgmCZjyxolyuDFLpIx,28.0,0.62,0.383,6.0,-9.468,0.0,0.0345,0.809,0.0045,0.0929,0.393,78.028,175320.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Tom SpeightIf This Is How the Story Ends
Canyon City,6TdfKQvrdHZdr4DIzjuWOr,55.0,"[acoustic pop, indie folk, indiecoustica, neo mellow, viral pop]",Blood,2A3a9WxEKjpG4nLdJrTQcX,Blood,0Ht4rJqj1RsXPrgbhbcDOa,38.0,0.392,0.38,3.0,-10.429,1.0,0.0418,0.723,0.0,0.0972,0.155,82.901,236427.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Canyon CityBlood
Terrible Sons,3eaJ1prUilN6z7yoFx9u2g,27.0,[nz pop],Hold Your Light High,2ifiuogRnLndEpyV8WT5HW,Hold Your Light High,3q95zAsgnhbbb9JOsFY5R2,27.0,0.64,0.525,8.0,-9.957,1.0,0.0712,0.144,0.00805,0.0881,0.401,78.462,192903.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Terrible SonsHold Your Light High
SYML,6AyATGg7mDgBlZ4N5uNog0,74.0,[pop],Believer,0h77eG0HVYZ2ki4T9qIHou,Believer,4QthYp34wrGAPQEvbz9QNS,56.0,0.633,0.358,0.0,-7.587,1.0,0.0302,0.151,2.03e-05,0.415,0.372,151.651,263253.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,SYMLBeliever
Candace Coker,0Frnv8PiVZxpcdUSLZSNj1,29.0,[unknown],Desert,38xQ2BLCGy76OWe83xBd5F,Desert,0V0InkpxgeM3jvYDRiMF16,29.0,0.336,0.472,8.0,-10.384,1.0,0.0386,0.78,0.0,0.143,0.314,84.49,281440.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Candace CokerDesert
Luca Fogale,3GKdEPHUSBp3iNT4SG2Med,54.0,"[indie folk, indiecoustica, neo mellow, vancouver indie]",Worthy of Love,3XgCxu1CP5FAlldLmjM8iz,Worthy of Love,66GRHLr19DHo2q513qnBM3,50.0,0.296,0.525,0.0,-7.925,1.0,0.0561,0.576,4.42e-06,0.0958,0.229,195.484,202988.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Luca FogaleWorthy of Love
Hazlett,1zO3MgzmcwZLLNUQqeU2XH,53.0,"[brisbane indie, indie anthem-folk, indie folk]",Part Time Lovers,0wcyQMBIXTuUJz3FokoVwp,Part Time Lovers,5PSnffyT93zHiE23tRsL0O,41.0,0.548,0.395,0.0,-16.282,1.0,0.0378,0.622,0.00771,0.103,0.138,131.82,190962.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,HazlettPart Time Lovers
Voyageur,4e96iK3tKVtBuCdQPjoik8,36.0,[modern indie folk],What Was Done,2c4z8zQdLbP3qhY5Za0yu2,What Was Done,6Gly36D1SdI7f7uzPgedmO,26.0,0.291,0.414,5.0,-9.884,1.0,0.0452,0.335,0.000308,0.0836,0.209,196.512,263480.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,VoyageurWhat Was Done
Charlie Oriain,0rNWn0b2f8PiL8VAdDR152,54.0,[unknown],Grow Out Of It,6IWfby0SmSyiU2SSktO7E7,Grow Out Of It,58CUtwjF3a0YrYR5Akh3cn,41.0,0.491,0.258,9.0,-14.973,1.0,0.112,0.782,0.0,0.0928,0.347,158.862,151106.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Charlie OriainGrow Out Of It
Gabrielle Grace,04I7vAN53FF1W4I3c0kdnS,27.0,[unknown],Two Sides,0sC9iuT32r2Han1fXTF3OI,Two Sides,22OoC2yDLHILWAfKVpFJpp,21.0,0.527,0.44,8.0,-9.16,1.0,0.028,0.0812,0.0388,0.0816,0.176,137.099,312900.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Gabrielle GraceTwo Sides
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Pop / Folk Compilation: March 2023,6Ngp5vLfQgZly5bLLihe82,Late Autumn Light,54KqieMgONWtMILu9LnJB1,17.0,0.523,0.335,11.0,-12.167,1.0,0.0298,0.612,0.000302,0.126,0.138,72.544,266652.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsLate Autumn Light
Seba Safe,2vY3QN8jlAZS4C4OsbDYV6,29.0,[unknown],Spitfire,2OhGdlMZhX6J1ChHvKXGUb,Spitfire,57TmdsErKaTpbrBX2G7DQi,21.0,0.744,0.595,8.0,-8.88,1.0,0.111,0.675,0.00836,0.355,0.521,127.851,144377.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Seba SafeSpitfire
Northwest Stories,5w1g5MrRpY3zWraNx9HMXS,34.0,[unknown],Greener,10oJcH4v8Jo9d4nOQJniSq,Scenic Route,3R8mnqjF3GIxaiVnMIaPbx,18.0,0.395,0.358,9.0,-9.851,0.0,0.037,0.697,0.000704,0.2,0.446,83.449,211894.0,1.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Northwest StoriesScenic Route
Phillip LaRue,7gIDHAJ0iFOGSMTiqsNUZT,46.0,"[acoustic pop, indie folk, indiecoustica, neo mellow, stomp and holler]",Never Break,3By5Keth1tSycd2vo4IimG,Never Break,5YfzEm06daynA9v8yNrz7x,36.0,0.732,0.429,0.0,-8.419,1.0,0.0352,0.36,0.000445,0.0867,0.185,135.968,191893.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Phillip LaRueNever Break
Mokita,3sKeaby6GMSJWgYueZaSjE,66.0,"[chill pop, chill r&b, electropop, pop]",Echo,2h2kRg9KFJFV2585w52F9i,Echo,3vTk0zFuqZOcnrKNLOzGW4,37.0,0.296,0.332,3.0,-6.757,1.0,0.0355,0.839,0.0,0.104,0.259,74.324,239152.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,MokitaEcho
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Pop / Folk Compilation: March 2023,6Ngp5vLfQgZly5bLLihe82,Who Knew,4FxlDqpGVNpAXBxbLAWRu5,17.0,0.588,0.277,6.0,-15.415,1.0,0.0323,0.935,0.309,0.0845,0.456,150.096,222119.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsWho Knew
Blue Lupin,4nvmEaGN3anmieg2aqqoCp,12.0,[unknown],Television,36WPNDd4TqMRyzNru2iOFQ,Television,5JQcSlH7FGWGzJUdJBMxE2,18.0,0.441,0.54,8.0,-9.648,1.0,0.0279,0.462,0.126,0.1,0.133,92.942,247677.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Blue LupinTelevision
Jenny Mayhem,3NTst6yWxqqQscJiYWoUDE,22.0,[barbadian pop],Feel Alright,0ZWQILD9dAGNYuN6fhk6V4,Feel Alright,5dNTPcJnKeKBGWucIUHdbc,18.0,0.624,0.721,9.0,-8.887,1.0,0.0367,0.587,0.687,0.0994,0.354,118.101,190169.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Jenny MayhemFeel Alright
Casey Dubie,1sYE9vIZsQ6cxgdr7ysq2F,27.0,[unknown],Science Teacher,63zjLEjKThzAcndZeFC0WU,Science Teacher,0pHgAUcTiHjVIoRzUvYpR4,19.0,0.413,0.447,9.0,-12.494,1.0,0.145,0.782,0.408,0.0896,0.283,163.959,206867.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Casey DubieScience Teacher
néomí,7bfwKXhmR1JF1PiBzaxY2b,38.0,[unknown],skipping stone,6iEIEFKB1OShW5ImoSZEFs,skipping stone,6gD86nnXjZPG6bMoJdPEu8,41.0,0.459,0.437,2.0,-13.089,0.0,0.0305,0.728,0.00255,0.11,0.0971,139.503,189712.0,3.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,néomískipping stone
Ryan Harris,38Cj253ij4uQ7Rce6tArIG,45.0,[unknown],Same Sun,0iDJ1kQZNuXhilxTTCwAHA,Same Sun,6MEoQa6jl59PrxnItrOJGY,36.0,0.709,0.317,1.0,-14.185,0.0,0.0347,0.686,0.201,0.106,0.263,117.033,185899.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Ryan HarrisSame Sun
Tay Oskee,6oqDqZlET7T3JO9YWD2pVW,49.0,"[australian indie folk, australian indigenous]",Let The Fire Burn,7wUvyUi0pz96oyUOkNUZqJ,Let The Fire Burn,15NQeamLTDRw15EOWMTUpK,31.0,0.686,0.734,1.0,-8.478,1.0,0.0433,0.205,0.0019,0.125,0.729,74.503,231323.0,4.0,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Tay OskeeLet The Fire Burn
