artist,artist_id,artist_pop,artist_genres,album,album_id,track_name,track_id,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
Mother Mother,0e86yPdC41PGRkLp2Q1Bph,76,[vancouver indie],Inside (Deluxe),03EqExvZuxLK86huLxGIa2,Hayloft II,0kYMwaQWABTkFff8AZjmYI,72,0.326,0.866,9,-4.541,0,0.101,0.0044,7.37E-06,0.0912,0.172,178.181,215040,4,New Alt-Rock Mixtape
The Struts,3lDpdwM8KILepMHqBWUhIA,62,"[glam rock, modern alternative rock, modern rock]",YOUNG&DANGEROUS,1mFRTnYk72zZfVk7l25G3g,Body Talks,6spaGIZEfeDYlgAupMI34k,53,0.37,0.855,8,-3.232,0,0.29,0.00354,0,0.372,0.65,185.791,178116,4,New Alt-Rock Mixtape
YONAKA,3Wcyta3gkOdQ4TfY0WyZpu,58,"[brighton indie, modern alternative rock, modern rock, rock]",Seize the Power,2QgPGKzoN51qcEzGlHYk7j,Seize the Power,794IGyga5qnhlzOUimLOMw,52,0.633,0.788,5,-4.075,0,0.127,0.0111,1.60E-06,0.0582,0.412,134.13,161617,4,New Alt-Rock Mixtape
Liily,2asx6eXv9qzj5rA0ESrdO3,43,[modern alternative rock],TV or Not TV,3EBzedKTSdxOxHX8VPb9G6,TV or Not TV,69yLIX3dwFMpoAqW1a98O2,31,0.681,0.67,4,-6.005,0,0.0299,2.50E-05,0.0168,0.144,0.565,115.027,220286,4,New Alt-Rock Mixtape
Royal Blood,2S5hlvw4CMtMGswFtfdK15,66,"[alternative rock, brighton indie, garage rock, modern alternative rock, modern blues rock, modern hard rock, modern rock, rock]",Trouble’s Coming,7HZqhu4pOZcTAv7ROHhZSj,Trouble’s Coming,5eR6OS3joTAHJToyzehKfu,51,0.775,0.688,1,-5.038,0,0.0384,0.0533,0,0.321,0.805,112.009,228400,4,New Alt-Rock Mixtape
Destroy Boys,7KeN0XX71T4fGysIYLB5J5,61,"[indie pop, oakland indie]",Fences,2V3FIz7zBjKGsSLdV7ixXj,Fences,1xFzQ7lZeNZkaXeozVWb79,51,0.377,0.991,4,-1.205,0,0.0932,0.00081,4.84E-06,0.298,0.258,122.147,238040,4,New Alt-Rock Mixtape
Wunderhorse,41pd7r1XBRsvdxY3vHEgib,49,[],Leader of the Pack,00n83NrrZI1uq7BzXInyNS,Leader of the Pack,5ZrE7guVgMc6Vjvri6aZYg,50,0.506,0.967,1,-4.464,0,0.0635,6.05E-05,0.195,0.0921,0.592,95.354,183467,4,New Alt-Rock Mixtape
LUNA AURA,18UrIT17pqz5fG7J85iwSh,43,"[alt z, indie electropop, indie poptimism]",HONEY,5xaKQhMQZELvqDgxs8iLyQ,HONEY,7AVf3MdvwHM5CdOdquzu9c,50,0.468,0.902,9,-4.838,1,0.132,0.0325,2.65E-06,0.0664,0.451,119.017,155680,4,New Alt-Rock Mixtape
FIDLAR,3P6duIn7oHeiBACZfYeNud,55,"[australian garage punk, indie garage rock, noise pop]",Centipede,5JeWduRYfv1Sj4Y2Vf9hQj,Centipede,49xISBZpODXRwd7vVxGL93,50,0.524,0.631,4,-5.196,1,0.0328,0.000996,0.000779,0.291,0.243,98.054,157705,4,New Alt-Rock Mixtape
Michigander,0oL26Dn9y761yfJgNb3vfu,50,"[indie folk, indie rock, michigan indie, modern rock, stomp and holler]",Misery,7nqQxq17r4eUTqsDAdrL6v,Misery,6Zz846CtUmQGP5z4F7sccA,50,0.343,0.732,0,-5.189,1,0.044,0.00533,0.00302,0.0685,0.392,180.162,180772,4,New Alt-Rock Mixtape
Des Rocs,2kO6mP0olFJGGh6kvUdNC8,58,"[modern alternative rock, modern rock, rebel blues, rock]",This is Our Life,3ACNAqePBWNG0zC20gRUNs,This is Our Life,5PUTXDqo5aGHoGbAhYm5ZT,49,0.364,0.877,7,-3.922,1,0.107,0.0011,1.16E-05,0.348,0.382,157.675,224307,4,New Alt-Rock Mixtape
Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,65,"[modern alternative rock, modern rock, rock, stomp pop, welsh rock]",Longshot,6RsjG9ykQSkY3YMDSAwYs8,Longshot,1Yi8XPnCPoimWwqxwm3uz9,48,0.481,0.765,7,-4.025,1,0.0388,0.00381,0.000737,0.119,0.465,102.829,232960,4,New Alt-Rock Mixtape
DREAMERS,1FgsVeOhRYuSw2ghkIXV0A,58,"[indie poptimism, modern alternative rock, modern rock, rock]",Don't Go Dark,1B4uS47ZUL6Xgye7HQcpex,Don't Go Dark,30Yt23yIvh2IuxgjofSDC9,48,0.568,0.588,2,-12.542,1,0.0537,0.0558,0.000941,0.0863,0.358,99.947,191994,4,New Alt-Rock Mixtape
Royal Blood,2S5hlvw4CMtMGswFtfdK15,66,"[alternative rock, brighton indie, garage rock, modern alternative rock, modern blues rock, modern hard rock, modern rock, rock]",Typhoons,547UjN7nCN4L5rQgolzHQn,Typhoons,6BsZx9FarJrLddTNu2k6pU,47,0.601,0.723,8,-4.364,0,0.0384,0.000347,0.0011,0.346,0.581,114.991,236933,4,New Alt-Rock Mixtape
BRKN LOVE,2Hkg1gn2Hpar1sVP8adtNp,50,"[modern alternative rock, modern rock]",Black Box,6FWVzZ70IkIbYjySKrThTI,Like A Drug,1LRCaubw4bOjUUl0xbrsO9,46,0.589,0.821,5,-5.194,0,0.0337,0.000389,0.00406,0.357,0.884,97.034,212621,4,New Alt-Rock Mixtape
DON BROCO,1aOt6LvXOV6I8dv1A5Diia,56,"[british alternative rock, modern alternative rock, modern rock, rock]",Amazing Things,5mIbeOd1gcpiIq08SQ3rxH,One True Prince,2hKLUK0YursR0laSpeJDun,46,0.405,0.876,0,-4.498,1,0.0494,0.00947,0.00506,0.322,0.311,75.835,238784,4,New Alt-Rock Mixtape
Tom Morello,74NBPbyyftqJ4SpDZ4c1Ed,69,[modern alternative rock],The Atlas Underground Fire,7kAxJWvGXcU2zebMMvaxFp,Hold The Line (feat. grandson),4py8spIzvJETEC3srLB0q4,46,0.556,0.93,1,-6.1,1,0.119,0.00134,0.0251,0.758,0.608,160.068,192151,4,New Alt-Rock Mixtape
White Reaper,75klPfIVnyYcyEGaicRUSF,53,"[indie garage rock, indie punk, louisville indie, modern power pop]",You Deserve Love,2hzRKcoWZUPY5M1qMrgtmR,Might Be Right,5YTDnlr6qzl0XIGCqHP7sx,45,0.595,0.861,1,-3.907,0,0.0327,0.00222,0.18,0.227,0.892,131.995,237013,4,New Alt-Rock Mixtape
swim school,7hC74DRW4q3obXLB5lTq4F,36,[edinburgh indie],delirious,4L9LiVVUoPfPnrkve1SR3C,delirious,2i6H4Pv8FAGamAIdftleDu,44,0.265,0.756,6,-7.3,0,0.0465,0.000513,0.925,0.187,0.0671,181.091,171879,4,New Alt-Rock Mixtape
Chappaqua Wrestling,5S4qUw22ZF7gTPUEx61SyC,40,"[english indie rock, manchester indie]",The Rift,7zDuEI2gGYXabIHsI4ZjAZ,The Rift,3vUHrmHxjsngAXKvxRJ6nc,43,0.294,0.675,5,-3.562,1,0.0435,3.15E-05,0.000711,0.321,0.37,148.186,228853,4,New Alt-Rock Mixtape
Demob Happy,6FKokxvL5PCWIxrVhMyDgI,44,"[brighton indie, modern alternative rock, modern rock, newcastle indie]",Voodoo Science,0C83LlAVD0nAhM1wn5aGFS,Voodoo Science,06krSNKYuVOzGxzwqsWegk,43,0.634,0.775,5,-6.928,0,0.0693,0.124,0.000287,0.358,0.598,119.964,189000,4,New Alt-Rock Mixtape
Friday Pilots Club,3PgEvPJKRuil74QPX8wtXY,59,"[indie rockism, modern alternative rock, modern rock, rock]","I LOVE YOU, ROBOT SUPERSTAR!",6H1bdNIAmVXS5s4FZfDEJf,Poison or Patience (feat. OSTON),6MYZ8x04XIEdFNg3rKAD5v,42,0.455,0.784,7,-6.139,1,0.234,0.00266,0,0.114,0.529,175.782,177213,4,New Alt-Rock Mixtape
Militarie Gun,4us4NMG5wuqdUZvthZrj0Q,41,"[5th wave emo, bubblegrunge, california hardcore, dreamo, indie punk, modern hardcore, modern melodic hardcore]",Do It Faster,6jyBZs0lDqpuoeyFJ5LWhs,Do It Faster,3ZTvrQhqEqHvYThM5CV6WE,42,0.567,0.965,8,-3.14,1,0.233,0.00982,0,0.101,0.522,142.085,107665,4,New Alt-Rock Mixtape
Black Honey,2oVmQT6s29pVIKpqJkyxBS,48,"[brighton indie, english indie rock, modern alternative rock, modern rock]",OK,6xF3774il7mBjTAqfgIpeg,OK,6qNMS8hywSVyaFcH3LqwEn,42,0.45,0.775,9,-5.775,0,0.0481,0.00102,7.44E-06,0.2,0.376,141.848,224580,4,New Alt-Rock Mixtape
Zero 9:36,1V599H9vfq6hWe2hGzyzI0,58,[],Come Thru,2QGtEKawGRCMRIhbp3SbvB,Come Thru,4o48EHVTIDb3PS0EIQ5l7A,41,0.613,0.86,4,-4.065,1,0.0425,0.0247,0,0.438,0.638,93.042,177227,4,New Alt-Rock Mixtape
Blondshell,7qrEXiLLnWkkYHhadZ1Oij,48,[indie pop],Joiner,6H6CwJUzsUIwxiT8vrMokD,Joiner,1y19yprweVojkuEr954I0G,41,0.598,0.721,9,-6.275,1,0.0349,0.000651,0.0777,0.113,0.196,125.988,239675,4,New Alt-Rock Mixtape
King Hannah,7t00AYOoiQrcgNlpTkNer6,39,"[chamber psych, experimental indie]","I'm Not Sorry, I Was Just Being Me",329jZGec5ndGWyYUAX1xJC,All Being Fine,1AObGJHBNGq23MkG3ZDjbJ,40,0.565,0.58,6,-8.166,0,0.0306,0.211,0.559,0.0669,0.747,159.894,209603,4,New Alt-Rock Mixtape
Gen and the Degenerates,7oEVPoHXaj73ddUCTNlO9E,29,[],Girl God Gun,2S0R1ILxzniCXfykA0A9BL,Girl God Gun,2gGwnLDwSxsi0zbkwEKSI6,40,0.455,0.914,3,-5.514,1,0.11,0.00232,8.07E-05,0.935,0.627,80.804,205855,4,New Alt-Rock Mixtape
Badflower,3T55D3LMiygE9eSKFpiAye,58,"[modern alternative rock, modern rock, post-grunge, rock]",Don't Hate Me,0JzhunpTxPRMXvmQW5ujm4,Don't Hate Me,4ysafP9rgpNQXYddVsepKW,39,0.613,0.79,1,-4.737,0,0.0384,0.000395,0.00103,0.337,0.457,125.984,251011,4,New Alt-Rock Mixtape
Chappaqua Wrestling,5S4qUw22ZF7gTPUEx61SyC,40,"[english indie rock, manchester indie]",Wide Asleep,2DY3DFla02eVvCjHgW6s64,Wide Asleep,1xpmaqqqyxCzZGPlZnnLyC,41,0.457,0.727,1,-4.963,0,0.0326,0.0433,0,0.123,0.249,95.484,252253,4,New Alt-Rock Mixtape
Modest Mouse,1yAwtBaoHLEDWAnWR87hBT,66,"[alternative rock, double drumming, indie rock, modern rock, rock, washington indie]",We Are Between,0jm29ezULLI1tMnNqhBiZU,We Are Between,38g0al4YO0WctLwI4Z8394,39,0.614,0.91,11,-3.175,0,0.0444,0.00956,0.000301,0.343,0.407,128.973,232907,3,New Alt-Rock Mixtape
Psychedelic Porn Crumpets,7GRrLcUxwtQLvOpO7OHO80,52,"[australian garage punk, australian psych, neo-psychedelic]",Night Gnomes,58wdGQU1dFL9gzRqG08Isw,Lava Lamp Pisco,2eXXH2jx97BkAeMIM6Se3S,39,0.429,0.899,7,-7.148,0,0.0541,2.41E-05,0.852,0.138,0.487,165.073,241859,4,New Alt-Rock Mixtape
WAAX,1KaaogmGXWK1Qi3WR81Tmi,41,"[australian garage punk, australian indie, brisbane indie]",Big Grief,3WH0K46IAKNCyj0KmgENDS,Labrador,0bxuV9VOE5iARolyiQyrxZ,38,0.49,0.794,7,-4.288,1,0.102,0.00051,9.58E-05,0.297,0.478,120.037,221627,4,New Alt-Rock Mixtape
MOSES,1y3itK0FVcrhTZoCIhXmum,29,"[london indie, modern alternative rock]",Cause You Got Me,0RJnmscPj3l5gSLuaIGSRJ,Cause You Got Me,25TuL0KAk45qspshkQNWJA,38,0.494,0.805,1,-6.437,1,0.0293,0.000595,7.12E-05,0.0636,0.571,96.996,232526,4,New Alt-Rock Mixtape
Momma,5Wj0an60VgRckYV9zlDe1e,47,"[bubblegrunge, indie pop, indie rock, small room]",Household Name,1jjI2c9jxiKdIV46hCH5h2,Rockstar,0nh29E71VEHJD8HxMyckVf,38,0.552,0.665,7,-6.632,1,0.0298,0.00368,0.000172,0.33,0.556,110.012,189000,4,New Alt-Rock Mixtape
Hundred Reasons,5jcIIICg01zIq8InYieJ5w,44,"[british alternative rock, uk post-hardcore]",So So Soon,5b47ZAEieOQUTSNk2M1ZkP,So So Soon,0pbRMdTybJA51v0tUjQv9G,38,0.512,0.92,0,-4.2,1,0.0517,6.57E-05,0,0.0885,0.599,130.948,228853,4,New Alt-Rock Mixtape
PUP,6A7uqgC2N1nUhrCLAytHxN,55,"[alternative emo, bubblegrunge, canadian indie, canadian pop punk, canadian punk, emo, indie punk, toronto indie]",THE UNRAVELING OF PUPTHEBAND,2bRpK0BpzYUQZYIzri35n6,Robot Writes A Love Song,3JKFWrIPoTGasqvrAn3u3D,38,0.516,0.952,1,-3.675,1,0.0659,0.0066,5.99E-06,0.0896,0.388,112.995,216013,4,New Alt-Rock Mixtape
Dead Poet Society,31M8EXHYtEqOqVb1X7JRVe,55,"[boston indie, modern alternative rock, modern rock, rock]",.CoDA.,3olq31Rex7clxCqI1L897b,.intoodeep.,0BWv3O0ouhfmc2aAPezRGu,37,0.592,0.674,8,-6.26,1,0.0417,0.00039,1.26E-05,0.354,0.499,124.928,219907,4,New Alt-Rock Mixtape
The Luka State,6DaXEbr3LdLNcui8pZf6AF,44,"[english indie rock, modern alternative rock, modern rock]",Room's On Fire,09cAjP3r3Pb0nma7l0wVXM,[Insert Girls Name Here],3TXyUyEa1BtBvxuxxh0bW8,37,0.297,0.913,3,-7.853,0,0.128,1.71E-05,0.317,0.157,0.361,169.849,188267,4,New Alt-Rock Mixtape
Webbed Wing,5WtT8OzAjn0fJ6tondvHrI,34,"[dreamo, indie punk, philly indie]",What's So Fucking Funny?,2RB8nl39caMcKZGb32pvPG,Make A Dime,5BEuayJZNsTDcjJEnUiLsN,37,0.354,0.764,1,-2.098,0,0.0404,2.86E-06,0.00245,0.101,0.443,140.084,176119,4,New Alt-Rock Mixtape
NEW LANGUAGE,5VgSeaCjuHm9qCimk0aXqL,28,[modern alternative rock],SAY IT,7xfievnMGV3hqp1lW7I4wH,SAY IT,6QfxtR8b5iQYsv7zFsBuUv,35,0.528,0.851,0,-6.163,1,0.0602,0.000202,0.000301,0.779,0.715,160.04,161315,4,New Alt-Rock Mixtape
The Dirty Nil,2mGENPk4M4jtaf5D7fDi98,41,"[canadian punk, hamilton on indie, indie punk]",Bye Bye Big Bear,79PfNXhYhRSo8mLST2gSti,Bye Bye Big Bear,6nSd7gG3KWFqG7Za17Jna2,35,0.408,0.715,3,-5.198,1,0.0575,0.0069,2.71E-06,0.296,0.461,95.774,176903,3,New Alt-Rock Mixtape
Hundred Reasons,5jcIIICg01zIq8InYieJ5w,44,"[british alternative rock, uk post-hardcore]",Glorious Sunset,2Wk0YO4JkdqrkMR5GjdAa0,Glorious Sunset,6JrhNM8Z6XARzHjUKQSrWD,35,0.388,0.808,2,-5.965,1,0.0438,0.00028,9.21E-06,0.154,0.253,160.121,239000,4,New Alt-Rock Mixtape
Tigercub,6ekYAO2D1JkI58CF4uRRqw,47,"[brighton indie, modern alternative rock, modern rock]",Beauty,2xe0gTFgZok8BDgUlkpRQ6,Beauty,0j4FFgyRleA5IbWP4BmlIC,35,0.475,0.94,1,-4.749,1,0.0573,0.00205,0.195,0.122,0.448,96.382,220324,4,New Alt-Rock Mixtape
Skegss,3SGLeWc7J5Ve0CinAOrb3a,56,"[australian garage punk, indie surf]",Bunny Man,6bKrlySqeQntAp4PtX46oW,Bunny Man,7Mhs6TsXacUO1wJP67r3yp,35,0.321,0.926,10,-4.06,1,0.0321,0.00145,3.62E-06,0.0947,0.814,176.259,178133,4,New Alt-Rock Mixtape
The Dangerous Summer,0iMnpaEHXkgMT956CmP1kj,48,"[anthem emo, emo, neon pop punk, pop emo, pop punk]",Mother Nature,1Mhtu4tZJg9mPPfS5STWWm,Way Down,4x6kvhekWvDC4MeYjg6xgR,34,0.402,0.923,8,-5.596,1,0.0468,0.0037,0,0.469,0.237,83.238,201229,4,New Alt-Rock Mixtape
Dinosaur Pile-Up,4MQsNhP9u10g1xuxaJBF0S,47,"[leeds indie, modern alternative rock, modern rock]",Back Foot,4q7m6brjyKWXqpvyg3kAdQ,Back Foot,6hZ11ThYoAHlLJsBK2U3jH,34,0.547,0.922,6,-5.845,1,0.0858,0.00619,1.13E-05,0.349,0.844,160.128,188653,4,New Alt-Rock Mixtape
Little Hurt,3QN1rAppoKbXhExveckTuO,47,[modern alternative rock],Get Out Of My Life,7CkQnUSUR4eS1lfwJCa18o,Get Out Of My Life,44uVPmfFf3tWyOtekieLci,34,0.499,0.787,1,-5.833,1,0.0628,0.000989,0,0.155,0.374,164.998,187432,4,New Alt-Rock Mixtape
Teenage Disaster,1CT22NjFvtaxNEF9ouO3Ep,50,[dark trap],Takes 2 To Kill Me,7bO7Dbh9ByzCznxDYs97Bi,Takes 2 To Kill Me,55wQIiMwfcQxLYUQpSdGl6,34,0.673,0.954,9,-4.358,1,0.0702,0.0145,0.00651,0.091,0.852,130.991,140718,4,New Alt-Rock Mixtape
Softcult,13pYXGtaLO9d06VrXX4Aw0,46,[],Gaslight,47aUK3fEcaVMuZsEdEWuLt,Gaslight,6hc42LuTezXyDwquiPH2uf,34,0.49,0.767,9,-4.773,0,0.0287,0.0038,4.02E-05,0.345,0.54,109.023,173315,4,New Alt-Rock Mixtape
Sego,0GtuGhnsCPahfLCAFg27gj,30,[],Sego Sucks,2VawrqRSehemq0YlVuZgCB,Shame,2cLWsAvGFe41Jz6oJWkRFg,34,0.618,0.912,1,-6.009,1,0.0639,0.0261,0.0152,0.0756,0.785,90.01,200080,4,New Alt-Rock Mixtape
The Snuts,4AzAfQNuAyKOFG4DZMsdAo,57,"[britpop revival, modern alternative rock, modern rock, rock, scottish indie rock]",Burn The Empire,6BgkyzQB8gTalZfDJrxluD,Burn The Empire,48DUNYVEDqSI2hrJtpRnmO,34,0.244,0.88,4,-4.448,0,0.141,0.000614,0,0.208,0.386,75.402,187787,3,New Alt-Rock Mixtape
Demob Happy,6FKokxvL5PCWIxrVhMyDgI,44,"[brighton indie, modern alternative rock, modern rock, newcastle indie]",Less Is More,5HFHCbXFgWSVg6wzUlDTRu,Less Is More,7w3fpRHULr70wtGdPfMufh,34,0.529,0.744,1,-6.865,1,0.0928,0.00378,4.92E-06,0.0432,0.615,112.986,180000,4,New Alt-Rock Mixtape
Starbenders,61jrgPBUklDAQV9DptCc8u,43,"[atlanta punk, glam punk]",Seven White Horses,5LmBmJwqcsNY449vAXp4fB,Seven White Horses,6u8CUELC9atvWHvioAZeKI,33,0.512,0.863,9,-5.762,0,0.0326,0.000161,0.517,0.489,0.56,119.97,220816,4,New Alt-Rock Mixtape
Narrow Head,4g6ODwOQYRZLsP89kEoBIu,53,"[american shoegaze, dreamo, grungegaze, spacegrunge]",Moments of Clarity,5VVOEBLHrTaHcAo1z86anZ,Moments of Clarity,4v8tVonb61TttqhDH9KoTu,33,0.195,0.904,8,-5.925,1,0.0799,0.0111,0.755,0.139,0.248,179.959,230936,4,New Alt-Rock Mixtape
Deaf Havana,0exhrQcReCdr11oPbOh22M,49,"[british alternative rock, east anglia indie, modern alternative rock, modern rock]",The Present Is a Foreign Land,0S3bsk74dllX4ggb3Ojyyi,Going Clear,2IqGnFjQy69Xr8eyphvdoq,33,0.474,0.865,3,-4.776,1,0.0366,0.000301,0,0.0842,0.609,155.01,201178,4,New Alt-Rock Mixtape
Starcrawler,0ZhtrY2Lt1s9klwm03lu8i,40,[],She Said,6CCzu7oKzxpJ9pH3aKdAhk,Stranded,02VlDdPkrqytJL6s130GSu,33,0.502,0.746,4,-4.11,0,0.0658,0.00985,1.78E-05,0.125,0.232,123.991,241335,4,New Alt-Rock Mixtape
The Mysterines,15QhuBSLfDNECfF8wvxj0M,43,"[britpop revival, indie rock, liverpool indie, modern alternative rock, modern rock]",Hung Up,2bePAZVJAuY8brSambIIiN,Hung Up,6BvbBevaIuLHffC5Q09ueO,32,0.435,0.95,2,-3.138,0,0.0621,1.44E-05,0.166,0.233,0.439,79.999,204560,4,New Alt-Rock Mixtape
The Amazons,7243txmysJ4KbRmH8UAMKO,48,"[english indie rock, garage rock revival, modern alternative rock, modern rock, reading indie, rock]",Mother,2c7XK3szugi5FXXyULDCc2,Mother - Single Version,2IHxrbIAQB5sRZTGYvEd01,32,0.429,0.873,5,-6.121,1,0.0539,0.00362,0.299,0.111,0.439,79.529,305345,4,New Alt-Rock Mixtape
The Velveteers,79wCmFlJs2qglR5n4UHMoq,34,[],Nightmare Daydream,3QJ2obeLQY61RE4vVLLilH,Father Of Lies,2Ow2S3k1Ggr2Ek76a7YoCe,32,0.5,0.791,5,-4.361,1,0.0333,0.00495,0.00798,0.179,0.308,127.943,257400,4,New Alt-Rock Mixtape
Saint Agnes,7c7LKkvEU9xLPyFmvV4njL,31,"[action rock, modern alternative rock]",Welcome to Silvertown,3aYOZUrvSmkzFKxWXdJphY,Welcome to Silvertown,3Vm5T4ZUrPXXkJ5YXqfvMX,32,0.438,0.778,1,-7.452,1,0.0683,0.00269,0.779,0.0893,0.457,95.775,195987,4,New Alt-Rock Mixtape
Wolf Alice,3btzEQD6sugImIHPMRgkwV,63,"[indie pop, indie rock, modern alternative rock, modern rock, rock]",Smile,2rJ83ZqFCb09JCpa1GnNUQ,Smile,6aZ4oJHt5zq9dM3Qb9o2Yq,32,0.515,0.764,11,-5.238,1,0.0444,0.000152,0.878,0.064,0.342,93.579,196800,4,New Alt-Rock Mixtape
Rise Against,6Wr3hh341P84m3EI8qdn9O,73,"[chicago hardcore, chicago punk, hardcore punk, punk]",Nowhere Generation [with Meg Myers],2g1iPboxaw0IV4zRhA2Scl,Nowhere Generation [with Meg Myers],5KBbOzPYd1lnnWV122qKwY,32,0.45,0.732,11,-3.702,1,0.0357,0.226,5.07E-06,0.179,0.405,80.7,239252,4,New Alt-Rock Mixtape
Turnstile,2qnpHrOzdmOo1S4ox3j17x,64,"[hardcore punk, modern melodic hardcore]",MYSTERY,7fESyOnq9rZD3b37TuMXJq,MYSTERY,1QlGmLx0IWNZq8Dm4N94xm,32,0.403,0.892,0,-6.244,1,0.0913,0.00374,0.0113,0.882,0.185,163.991,155200,4,New Alt-Rock Mixtape
The Hunna,7jZycSvTyx0W9poD4PjEIG,57,"[modern alternative rock, modern rock, rock]",Apologies,1nATWShLPekWv0pH4yKrL6,Apologies,5IYHlgFTDYMiXzvYtUxUAK,31,0.527,0.887,1,-4.91,1,0.0855,0.00408,0.000119,0.11,0.699,164.943,173276,4,New Alt-Rock Mixtape
Coach Party,4trP4C2bZ0TqMUxw0tLRAZ,35,[isle of wight indie],FLAG (Feel Like A Girl),0ENZf1H4TdOjZNhEBmtnZG,FLAG (Feel Like A Girl),6eYr9mXnX7TSBSn6Y2Bazc,30,0.563,0.949,11,-1.931,0,0.0552,0.0194,0.000149,0.191,0.627,134.001,168320,4,New Alt-Rock Mixtape
The Velveteers,79wCmFlJs2qglR5n4UHMoq,34,[],Nightmare Daydream,3QJ2obeLQY61RE4vVLLilH,Choking,7pFibnxpBbPhCtA3VthLAS,30,0.603,0.842,10,-6.106,0,0.33,0.174,0,0.436,0.296,139.928,127093,4,New Alt-Rock Mixtape
